Gene,Top_1,Top_2,Top_3,Top_4,Top_5,Score_1,Score_2,Score_3,Score_4,Score_5
PIBF1,INVS,PCM1,ULK4,CEP290,TTC17,5.645051708471132,5.630160249920752,5.599295304221556,5.554881101355522,5.545819031954213
INVS,PIBF1,WDPCP,EXOC4,TTC17,TTC8,5.645051708471132,5.590630641719656,5.2573844169470245,4.863819787707443,4.4990043992849555
CEP83,IQCB1,SCLT1,TCTN1,KIAA0586,CCP110,5.628920969977402,5.2903378231027585,4.826734863465328,4.073494705582759,3.788346017949511
CSNK1D,RAB1A,TUBGCP2,MAPRE1,TRAPPC3,DYNLT1,5.620325957725463,4.173315097265334,4.143018248684301,4.131226688232291,3.981766521187784
DPYSL2,ACTR2,RAB10,SNX10,ASAP1,TNPO1,5.614633333906758,5.0447792875324176,4.350235985883696,4.050290982409024,3.7131136167371066
ULK4,PIBF1,IFT88,NME7,DYNC2H1,TRAPPC9,5.599295304221556,4.852888992270898,4.672906403431735,4.6477000654808425,4.543750805214854
AGBL2,RSPH4A,WDR35,DNAI2,AK7,BBS4,5.590034067918835,5.066646302203318,4.796138456474763,4.741314946110574,4.27811210921558
RAB8B,EXOC5,ACTR3,ACTR2,MAPRE1,ATP6V1D,5.533300233464801,5.420067928356416,4.402404087890089,4.020088640871448,4.006002416188995
SSNA1,TRAPPC3,RANBP1,POC1A,TUBA1C,PLK1,5.532764637075879,5.458949030219308,4.707048285109885,4.478025918956722,4.424386693697691
FUZ,WDPCP,FOXJ1,ODF2,IFT22,FAM161A,5.520616060101953,5.0457110702567425,4.5273081327662075,4.209475161361576,4.074391689890133
DNAH11,CCDC40,DNAH5,DNAH9,DNAH10,DNAAF1,5.514445296204505,5.18166292273395,5.011657999530248,4.976165129990717,4.727716792690403
PKD1,PKD2,RAB15,ALMS1,RAB11FIP3,PDZD7,5.484650307191274,4.461746366831132,3.903917446480396,3.8373916217587913,3.807433454098005
TOPORS,TBCC,TRIP11,CEP97,PARD6A,CFAP20,5.479273468352976,5.093655268885688,4.288202858798261,4.022441375944009,3.875289667244364
BBS10,STIL,ALMS1,CEP19,BBS12,TMEM237,5.418507866354926,4.963142453572072,4.842745708627029,4.363723888617274,3.7168169880277304
STIL,BBS10,SASS6,CEP250,HYLS1,ALMS1,5.418507866354926,4.290904026382286,4.015694503995031,3.8730876250340307,3.8002611156667925
SCLT1,PCM1,CEP83,ODF2,ALMS1,KIAA0586,5.418295998217463,5.2903378231027585,4.201457921191611,4.189803818618945,4.101359652928611
TUBGCP4,TUBGCP3,TUBGCP5,TUBGCP6,ORC1,XPNPEP3,5.4037528788457,4.837553534266561,4.507482842859864,4.128789783624095,3.45623177476804
JADE1,NUP62,TOPORS,TRIP11,CEP135,TUBGCP4,5.373890411889162,3.3560750877816767,3.1665028901863645,3.093170566686089,3.0709980503512524
ABLIM1,PARD3,TTC17,EXOC4,WDPCP,RFX3,5.310412447189144,4.817085572749743,4.623413091182908,4.480422230088101,4.286901527092008
PARD3,ABLIM1,WDPCP,EXOC6B,RFX3,PCM1,5.310412447189144,4.810357977459409,4.775680858863424,4.127641289441227,4.121629656648384
DYNC2H1,DNAH7,SPAG16,DNAH9,PACRG,BBS9,5.294123206301952,5.27860125474389,5.253089546976877,5.12998695139018,5.011503637445395
NEK2,PLK1,TTK,STIL,ODF2,HYLS1,5.2560014771059755,4.390388166993657,3.150446336152406,2.5056987737678407,2.439967892677141
TRIM32,TMEM237,TCTN2,EVC2,PKD1L1,BBS10,5.22715511032329,4.277593742667452,4.182231175747651,3.3524162596388853,3.245016780687484
IFT43,CBY1,WDR19,IFT122,WDR35,RFX3,5.20582855213968,5.180717053415852,5.091467078975602,5.008341507350987,4.911283314088864
CBY1,IFT43,IFT22,CLUAP1,TMEM138,SMO,5.20582855213968,4.888836074503003,4.508940802781378,4.285766729120258,4.252898283077491
CEP97,C2CD3,CEP162,TBC1D7,CCP110,TOPORS,5.170930660026192,4.583323021696801,4.303971298990261,4.298468145648425,4.288202858798261
OFD1,IFT57,CEP164,RAB3IP,CEP290,PCM1,5.158595016865393,3.3010727003839744,3.116453843537859,3.0482019029345624,2.964892693643538
TUBB2B,TUBB2A,TUBA1A,RAN,TUBB3,TBCC,5.1535260027912395,3.970810491267196,3.746219688007494,2.8762109167150247,2.648083524014784
CROCC,SUFU,FUZ,RPGRIP1L,BBS1,TMEM138,5.138038647968898,4.053434515900152,3.4858547009569723,3.434885978600417,3.3936511191196512
SNAP29,RAB8A,TMEM138,RAB10,TBC1D7,DVL1,5.104025345027557,4.570701316832695,4.4306359786029095,3.812704714547782,3.634207809067903
RILPL1,SUFU,IFT122,DVL1,SNAP29,SMO,5.0904910697203105,4.1225258767498465,3.8577517378469146,3.498690573488455,3.0846034032032668
ALMS1,C2CD3,BBS10,KIAA0586,SCLT1,CEP89,5.089850506533519,4.963142453572072,4.961689070992676,4.189803818618945,3.9502796458041027
