,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
91,ABHD8,ATXN2L,0.76,UBL7,0.7391304347826086,INO80D,0.7307692307692307,FAM117B,0.7272727272727273,BLOC1S6,0.7272727272727273
92,ABI1,ABI2,0.9117647058823529,MYL6,0.868421052631579,PLOD1,0.8648648648648649,TRAM1,0.8648648648648649,GRB2,0.8648648648648649
93,ABI2,ABI1,0.9117647058823529,LMNB2,0.8571428571428571,FGFR1,0.8529411764705882,CAMSAP1,0.8378378378378378,KCTD10,0.8378378378378378
94,ABI3,LRRC37A,0.8333333333333334,FAM186B,0.8333333333333334,KRT80,0.8333333333333334,HMGA1,0.8333333333333334,AMHR2,0.8333333333333334
95,ABI3BP,PTX3,1.0,PRDM15,1.0,FAM193B,1.0,OLFM4,1.0,OCLN,1.0
96,ABL1,ABL2,0.8888888888888888,CRKL,0.8648648648648649,TAOK1,0.8461538461538461,ARRB1,0.825,ARHGAP17,0.825
97,ABL2,ABL1,0.8888888888888888,NRBP1,0.8857142857142857,ARHGAP17,0.868421052631579,TEAD1,0.868421052631579,CRKL,0.8611111111111112
98,ABLIM1,ABLIM2,0.8888888888888888,ABLIM3,0.8275862068965517,L3MBTL3,0.8064516129032258,KIAA0319L,0.8,CCDC85A,0.8
99,ABLIM2,ABLIM1,0.8888888888888888,FOXO4,0.8275862068965517,SUDS3,0.7931034482758621,ABLIM3,0.7931034482758621,PHF14,0.78125
100,ABLIM3,ABLIM1,0.8275862068965517,ALX1,0.8,BRMS1L,0.8,ABLIM2,0.7931034482758621,PAQR3,0.7878787878787878
101,ABR,XIAP,0.8518518518518519,BCR,0.8461538461538461,HAND1,0.8461538461538461,SUFU,0.8275862068965517,MSL3,0.8214285714285714
102,ABRA,LRIG1,0.8666666666666667,FARP1,0.84375,MAB21L1,0.84375,RASSF8,0.8387096774193549,HS3ST3B1,0.8275862068965517
103,ABRACL,OGFOD2,0.631578947368421,RB1,0.5952380952380952,RPUSD4,0.5555555555555556,GBP4,0.5526315789473685,HEATR6,0.5510204081632653
104,ABT1,SEC63,0.898876404494382,TIMM17A,0.896551724137931,RNF113A,0.8876404494382022,RPIA,0.8863636363636364,TIMM17B,0.8837209302325582
105,ABTB1,CYP1A1,0.5789473684210527,IBTK,0.5714285714285714,GNB5,0.5714285714285714,AGMAT,0.5652173913043478,FTCD,0.5609756097560976
106,ABTB2,PDZD2,0.7307692307692307,SMO,0.7037037037037037,NOL4,0.7037037037037037,HMGXB4,0.7037037037037037,BCR,0.7037037037037037
107,ACAA1,PIR,0.7777777777777778,HLTF,0.7391304347826086,LSS,0.7272727272727273,CYP51A1,0.7121212121212122,SLC47A1,0.7058823529411765
108,ACAA2,CPT2,0.711864406779661,ATL2,0.6981132075471698,FOXRED1,0.6938775510204082,CKM,0.6923076923076923,ATL1,0.6923076923076923
109,ACACA,ACACB,0.9518072289156626,ATP7B,0.9176470588235294,GMPS,0.9101123595505618,RER1,0.9080459770114943,ATP7A,0.896551724137931
110,ACACB,ACACA,0.9518072289156626,GMPS,0.9101123595505618,ATP7A,0.896551724137931,ATP7B,0.8953488372093024,RER1,0.8863636363636364
111,ACAD10,SVOP,0.7230769230769231,CRYZ,0.6935483870967742,LDHD,0.6923076923076923,PHYHD1,0.6911764705882353,PIR,0.6774193548387096
112,ACAD11,PIR,0.6724137931034483,ACAD10,0.6545454545454545,SH3YL1,0.6481481481481481,NPHP3,0.6428571428571429,THNSL2,0.6296296296296297
113,ACAD8,UROC1,0.5813953488372093,MCEE,0.5714285714285714,LZIC,0.5652173913043478,TK1,0.5614035087719298,PRKDC,0.56
114,ACAD9,NADK2,0.625,FBXO30,0.6129032258064516,SFRP2,0.6129032258064516,SLC24A2,0.6046511627906976,LEF1,0.5882352941176471
115,ACADL,SMPD3,0.7083333333333334,SLC38A4,0.7083333333333334,RELN,0.6956521739130435,SH3PXD2A,0.6923076923076923,FOXRED2,0.6666666666666666
116,ACADM,ANO1,0.74,RBPJ,0.7254901960784313,CPT1B,0.7142857142857143,HADHA,0.7142857142857143,ACADVL,0.7142857142857143
117,ACADS,SLC24A4,0.7906976744186046,SLC24A2,0.7608695652173914,SLC24A3,0.7441860465116279,HYKK,0.7380952380952381,SLC39A11,0.7115384615384616
118,ACADSB,ECHS1,0.7464788732394366,GTPBP1,0.7397260273972602,ACO2,0.7123287671232876,IVD,0.7105263157894737,HID1,0.7066666666666667
119,ACADVL,PAM,0.8837209302325582,PAM,0.8837209302325582,RAPGEF6,0.875,PHKG2,0.8717948717948718,ARHGAP17,0.8536585365853658
120,ACAN,ZHX2,1.0,HP1BP3,1.0,LRFN2,1.0,CRYBB2,1.0,RTN4RL1,1.0
121,ACAP1,ACAP2,0.6774193548387096,BRWD3,0.6666666666666666,DMWD,0.6551724137931034,ACAP3,0.6507936507936508,CELF5,0.6379310344827587
122,ACAP2,CCNK,0.7878787878787878,P4HA1,0.78125,GPR107,0.7692307692307693,NAPG,0.765625,MAN1A2,0.7611940298507462
123,ACAP3,ACAP2,0.7575757575757576,PPIL2,0.7368421052631579,SART3,0.7183098591549296,CCNK,0.7101449275362319,WRAP53,0.7012987012987013
124,ACAT1,ACAT1,1.0,ACAT1,1.0,GLUD1,0.8809523809523809,GLUD1,0.8809523809523809,GLUD2,0.8588235294117647
125,ACAT2,CLVS2,0.7058823529411765,SYK,0.7,CLOCK,0.6774193548387096,RGS14,0.6774193548387096,KCNIP1,0.6774193548387096
126,ACBD3,PHF10,0.8055555555555556,ACVR1,0.7941176470588235,TMEM33,0.7894736842105263,NUDCD1,0.7837837837837838,GOPC,0.78125
127,ACBD4,ACBD5,0.8,DAB1,0.7352941176470589,L3MBTL2,0.7142857142857143,DAB2,0.7142857142857143,SGCZ,0.7058823529411765
128,ACBD5,DAB1,0.8285714285714286,RC3H1,0.8108108108108109,DAB2,0.8055555555555556,MRPL1,0.8,ACBD4,0.8
129,ACBD7,DBI,0.75,COQ6,0.7123287671232876,SLC25A28,0.6753246753246753,HLCS,0.6712328767123288,MPC1,0.6708860759493671
130,ACCS,NCAPG2,0.6170212765957447,AOX1,0.5769230769230769,SDR42E1,0.5555555555555556,AADAC,0.5454545454545454,XDH,0.5409836065573771
131,ACCSL,NENF,0.5384615384615384,NUDT7,0.5,MORC4,0.5,COMTD1,0.4888888888888889,SERINC4,0.47368421052631576
132,ACD,MSLN,1.0,EPB42,1.0,FAS,1.0,RARRES2,1.0,IFNL3,1.0
