,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
137,ACER3,AIFM2,1.9162924349906099,OMA1,1.7690086044412443,CYBB,1.7541095025100129,ACAA1,1.7263315158585635,MSMO1,1.6922641737388613
138,ACHE,MED12,2.7374502299713175,NR5A2,2.5412133742718024,ERBB3,2.5412133742718024,CACNB4,2.4711287829505473,NKX2-2,2.436985007691474
139,ACIN1,STRC,2.4711287829505473,KRT18,2.350073579759288,BHLHE41,2.350073579759288,CHRNE,2.350073579759288,CGN,2.350073579759288
140,ACKR1,OR5A1,3.802736018054397,TCEAL6,3.802736018054397,PRM3,3.802736018054397,SYNE4,3.802736018054397,PRR23B,3.802736018054397
141,ACKR2,SNTN,3.802736018054397,PTH,3.802736018054397,OR52R1,3.802736018054397,IL21,3.802736018054397,SIRPA,3.802736018054397
142,ACKR3,TMEM196,3.802736018054397,WIZ,3.802736018054397,CDH26,3.802736018054397,KRT14,3.802736018054397,COBL,3.802736018054397
143,ACKR4,PTX3,3.802736018054397,PRDM15,3.802736018054397,FAM193B,3.802736018054397,OLFM4,3.802736018054397,OCLN,3.802736018054397
144,ACLY,NDUFS4,2.8541938779804217,EIF3K,2.8274743810769296,CHDH,2.8215517395568233,ETFDH,2.8040305917265096,GID8,2.7784227602822047
145,ACMSD,CLYBL,2.1382269741745845,TPP1,2.1138683052397584,CYBB,1.9917501783131613,AACS,1.8658527669942517,PCCB,1.8565408282872315
146,ACO1,MGRN1,2.48936997795197,UFL1,2.48936997795197,ALDOB,2.4884223834064416,ALDOA,2.4010441916292917,ALDOC,2.4010441916292917
147,ACO2,SLC25A36,3.041817597995054,CAB39,2.993658204320412,HCCS,2.9034687943479014,TIMM22,2.879488335049061,NUP155,2.858811902031415
148,ACOT1,ACOT2,3.802736018054397,MRC2,3.242059287484355,MORC2,3.041817597995054,DSEL,2.9149978613184975,ANKRD10,2.9149978613184975
149,ACOT11,ACOT12,2.4711287829505473,GOLIM4,2.120705826344271,PLEK,2.027259704582597,CENPL,2.027259704582597,PPARGC1A,1.9384858889090073
150,ACOT12,ACOT11,2.4711287829505473,RWDD3,1.5199807578763684,FAM81B,1.4354342667586641,C6orf62,1.4354342667586641,GREB1,1.4058429948674676
151,ACOT13,UMPS,2.3569910199416455,LARP1,2.350073579759288,WDR20,2.350073579759288,MYO5A,2.3360381938820405,KDM5B,2.3360381938820405
152,ACOT2,ACOT1,3.802736018054397,MRC2,3.242059287484355,MORC2,3.041817597995054,DSEL,2.9149978613184975,ANKRD10,2.9149978613184975
153,ACOT4,MRC2,2.9149978613184975,ACOT1,2.9149978613184975,ACOT2,2.9149978613184975,PON2,2.4010441916292917,PLA2R1,2.323172423494564
154,ACOT6,PYDC1,3.802736018054397,PXT1,3.802736018054397,PSORS1C1,3.802736018054397,PSG9,3.802736018054397,PSG8,3.802736018054397
155,ACOT7,CCNF,3.176097319181997,STXBP4,3.176097319181997,CEP85,2.862777969745797,HVCN1,2.8040305917265096,FAM72D,2.6190851424065307
156,ACOT8,IDNK,1.9228199214371973,AGMAT,1.5833906262146473,IDO2,1.5537993543234503,LGSN,1.536170511494653,FOLH1,1.5340718397293194
157,ACOT9,PHYHD1,2.5451069626785383,ACOX1,2.5243930723547012,HAO1,2.453374019815829,D2HGDH,2.4192479815828647,LIN54,2.397150603222556
158,ACOX1,HSD17B4,3.0829483234036674,PEX5,2.993658204320412,HAO1,2.9034687943479014,SLC25A20,2.8821186703282784,PHYHD1,2.879488335049061
159,ACOX2,ACOX1,2.8274743810769296,FBP2,2.3194266928754246,FBP2,2.3194266928754246,XRCC6,2.2911818592878648,HSD17B4,2.2704756379348985
160,ACOX3,UPB1,2.3957547885107062,PTBP1,2.376013980443129,CCDC47,2.204807335929777,TRABD,2.1563852546532734,PTBP3,2.1497063468909974
161,ACOXL,FBXO3,1.8053251653986222,TTC13,1.740892557248436,ALOX15B,1.5833906262146473,CYP26C1,1.5690722688479393,ALOXE3,1.499415395172062
162,ACP1,RPTOR,2.8515879929802184,DAD1,2.808469282510189,FBXL20,2.765119990700748,CAB39,2.7634328101684655,PPP2R2A,2.7634328101684655
163,ACP2,PAH,2.703631633524235,RALGAPA2,2.7007162372787974,MOB4,2.6675954241953774,TMEM104,2.629116082030665,RALGAPA1,2.608881255547497
164,ACP5,SRSF12,1.7690086044412443,MFSD5,1.740892557248436,AP4M1,1.6905314382344971,GCAT,1.672164441888237,SAP18,1.6562646540063999
165,ACP6,RDH8,1.3711054148212798,PLBD1,1.191741439419397,ORMDL1,1.1846607761553023,RABEPK,1.1395215478466973,MPST,1.1395215478466973
166,ACR,FAM174A,3.041817597995054,OR10A5,3.041817597995054,REG4,3.041817597995054,OR10A4,3.041817597995054,OR51E2,3.041817597995054
167,ACRBP,MSLN,3.802736018054397,EPB42,3.802736018054397,FAS,3.802736018054397,ACD,3.802736018054397,RARRES2,3.802736018054397
168,ACRV1,CXCL6,3.802736018054397,PRR3,3.802736018054397,OR5K4,3.802736018054397,CCDC107,3.802736018054397,C9orf43,3.802736018054397
169,ACSBG1,ACSBG2,3.4553602175925233,ELMOD1,2.0634939150616134,ACSS3,2.027259704582597,MAP3K9,1.9999446843753386,TRAP1,1.9717760697866034
170,ACSBG2,ACSBG1,3.4553602175925233,GGH,2.027259704582597,ACADS,1.9917501783131613,ELMOD1,1.9547912836245642,ACSS3,1.9286221316119416
171,ACSF2,NAA35,2.927158657986112,PHYHD1,2.8541938779804217,VPS36,2.816360288347841,VPS54,2.808469282510189,HSD17B4,2.7950332455433755
