,scGPT_bc_embeddings_similarities,scGPT_pancancer_embeddings_similarities,scGPT_CP_embeddings_similarities,scGPT_lung_embeddings_similarities,scGPT_heart_embeddings_similarities,scGPT_brain_embeddings_similarities,scGPT_kidney_embeddings_similarities,scGPT_human_embeddings_similarities,GF-6L30M_HUMANemb_similarities,GF-20L95M_HUMANemb_similarities,GF-12L95M_HUMANemb_similarities,GF-12L95MCANCER_UNIPROT_HUMANemb_similarities,GF-12L30M_HUMANemb_similarities,Correlation,Same_Complex,GeneAB,Random Forest_n10000 predictions,Random Forest_n10000 probabilities,Gene_A,Gene_B,Phylogenetic_Jaccard_Similarity,prob_z,jaccard_z,composite_score
15281,0.17825978994369507,0.18240705132484436,0.15852564573287964,0.058093540370464325,0.040467143058776855,0.11338167637586594,0.015121392905712128,0.15995803475379944,0.1724545955657959,0.15961101651191711,0.7567347288131714,0.8289322257041931,0.6909503936767578,0.24562003364604648,0,CEP97_C2CD3,1,0.7606,CEP97,C2CD3,0.5675675675675675,1.0710885781031358,0.41237398060853525,1.483462558711671
16757,0.1872989982366562,0.26948004961013794,0.22848376631736755,0.017599891871213913,-0.009495362639427185,0.21008187532424927,-0.01677948608994484,0.23037832975387573,0.4907246530056,0.24236249923706055,0.8602374792098999,0.9277449250221252,0.8548309206962585,0.11536418588191483,0,DNAL1_RSPH3,1,0.5989,DNAL1,RSPH3,0.8181818181818182,-0.3603282479574581,1.8363018045502721,1.475973556592814
24356,0.11505235731601715,0.3526669144630432,0.2958734631538391,0.10266298800706863,0.08276548981666565,0.2933617830276489,0.06491342186927795,0.296963095664978,0.5093860626220703,0.16472074389457703,0.8504955768585205,0.8864884972572327,0.8681312203407288,0.1618919327665901,0,RSPH4A_IFT46,1,0.6589,RSPH4A,IFT46,0.7246376811594203,0.17080972089619484,1.304807289987194,1.475617010883389
4472,0.1223430410027504,0.20039305090904236,0.16488033533096313,0.009534230455756187,-0.03456130996346474,0.07548337429761887,-0.012554390355944633,0.16519317030906677,0.28498369455337524,0.14382806420326233,0.8414310216903687,0.8898590803146362,0.8312627077102661,0.24380816793645654,0,TRIP11_TOPORS,1,0.7825,TRIP11,TOPORS,0.5319148936170213,1.2649539367347182,0.20980435692721194,1.4747582936619301
27364,0.15183904767036438,0.39053454995155334,0.35946959257125854,0.08480862528085709,0.0860367938876152,0.45625782012939453,0.04727032035589218,0.3601446747779846,0.6622955799102783,0.37264278531074524,0.8799426555633545,0.8997705578804016,0.8729662895202637,0.23597550461363734,0,RSPH4A_AGBL2,1,0.6208,RSPH4A,AGBL2,0.7833333333333333,-0.16646288932587466,1.6383013832799422,1.4718384939540676
23047,0.16474369168281555,0.16709595918655396,0.1998205929994583,-0.004536144435405731,0.04564014822244644,0.273571252822876,0.0013913512229919434,0.19914831221103668,0.2561814785003662,0.0781138688325882,0.7464172840118408,0.8396148681640625,0.7856943607330322,0.1915368435476032,0,EXOC6_TTC17,1,0.7623,EXOC6,TTC17,0.5625,1.0861374872206553,0.38358132240383114,1.4697188096244864
16798,0.18553954362869263,0.20375725626945496,0.16650992631912231,0.036551933735609055,-0.011902769096195698,0.08764553815126419,-0.020167773589491844,0.1678309589624405,0.3295789957046509,0.11693736165761948,0.8299057483673096,0.905005693435669,0.8489696979522705,0.44518608367586254,0,DNAL1_IFT88,1,0.5899,DNAL1,IFT88,0.8309859154929577,-0.43999894328550604,1.909051500056823,1.4690525567713169
7369,0.09986402839422226,0.2520871162414551,0.21346895396709442,0.10544613003730774,0.08350175619125366,0.1990983784198761,0.05303975194692612,0.2134881466627121,0.3832835257053375,0.09216801822185516,0.8197760581970215,0.8841573596000671,0.8358891606330872,0.24736777431286328,0,KIF3B_IFT172,1,0.5727,KIF3B,IFT172,0.8571428571428571,-0.5922584943568864,2.0576687351630625,1.4654102408061762
5662,0.2863582372665405,0.33223462104797363,0.25867128372192383,0.2613784968852997,0.09415411204099655,0.23000794649124146,0.024898380041122437,0.27457553148269653,0.6308295726776123,0.3233502209186554,0.7946034669876099,0.8491936922073364,0.9170316457748413,0.2729560524571694,0,HYDIN_DNAH5,1,0.6458,HYDIN,DNAH5,0.7428571428571429,0.05484459769648071,1.4083257386988761,1.4631703363953568
6295,0.23661676049232483,0.3631207346916199,0.39056628942489624,0.13508380949497223,0.08545383810997009,0.46532759070396423,0.08683252334594727,0.3903110921382904,0.5895088911056519,0.3505207300186157,0.8916147947311401,0.9181952476501465,0.8597488403320312,0.3669050366219872,0,PLK1_TTK,1,0.7908,PLK1,TTK,0.5161290322580645,1.33842802242614,0.12011301990702138,1.4585410423331613
