gene_name,complex_id
AKAP5,CPX-998
PPP3R1,CPX-998
PPP3CC,CPX-1001
PPP3R1,CPX-1001
PPP3CB,CPX-1002
PPP3R2,CPX-1002
PPP3R1,CPX-1003
PPP3CA,CPX-1003
TADA2A,CPX-1004
TADA3,CPX-1004
WDR5,CPX-1004
DR1,CPX-1004
ZZZ3,CPX-1004
KAT2B,CPX-1004
SGF29,CPX-1004
KAT14,CPX-1004
MBIP,CPX-1004
YEATS2,CPX-1004
PPP3CB,CPX-1009
PPP3R1,CPX-1009
TNN,CPX-1012
TNXB,CPX-1014
CYBB,CPX-1017
CYBA,CPX-1017
NCF1,CPX-1017
NCF2,CPX-1017
RAC1,CPX-1017
NCF4,CPX-1017
TNR,CPX-1019
KPNA2,CPX-1027
KPNB1,CPX-1027
SNUPN,CPX-1032
KPNB1,CPX-1032
PPP3CA,CPX-1048
PPP3R2,CPX-1048
PPP3CC,CPX-1050
PPP3R2,CPX-1050
KPNA1,CPX-1055
KPNB1,CPX-1055
KPNA3,CPX-1057
KPNB1,CPX-1057
KPNA4,CPX-1060
KPNB1,CPX-1060
KPNA5,CPX-1063
KPNB1,CPX-1063
KPNA6,CPX-1064
KPNB1,CPX-1064
KPNA7,CPX-1066
KPNB1,CPX-1066
U2AF2,CPX-1074
SF1,CPX-1074
SYNCRIP,CPX-1076
CSDE1,CPX-1076
PABPC1,CPX-1076
HNRNPD,CPX-1076
PAIP1,CPX-1076
SYNCRIP,CPX-1080
YBX1,CPX-1080
HNRNPU,CPX-1080
DHX9,CPX-1080
IGF2BP1,CPX-1080
APOBEC1,CPX-1097
HNRNPAB,CPX-1097
A1CF,CPX-1097
SMARCA5,CPX-1099
SF3B1,CPX-1099
DEK,CPX-1099
ERCC6,CPX-1099
MYBBP1A,CPX-1099
DDX21,CPX-1099
BAZ1B,CPX-1099
AKAP5,CPX-1112
PPP3CC,CPX-1112
PPP3R1,CPX-1112
AKAP5,CPX-1114
PPP3CA,CPX-1114
PPP3R2,CPX-1114
PPP3CB,CPX-1116
AKAP5,CPX-1116
PPP3R2,CPX-1116
AKAP5,CPX-1118
PPP3CC,CPX-1118
PPP3R2,CPX-1118
FOXO3,CPX-1123
MYC,CPX-1123
FOXO3,CPX-1147
YWHAZ,CPX-1147
STIL,CPX-1159
SASS6,CPX-1159
CPAP,CPX-1159
PLK4,CPX-1161
CEP192,CPX-1161
WASHC1,CPX-1163
WASHC5,CPX-1163
WASHC4,CPX-1163
WASHC3,CPX-1163
WASHC2C,CPX-1163
ARID1A,CPX-1164
ACTL6A,CPX-1164
SMARCA2,CPX-1164
ACTB,CPX-1164
SMARCB1,CPX-1164
SMARCD3,CPX-1164
SMARCC2,CPX-1164
SMARCC1,CPX-1164
SMARCD2,CPX-1164
SMARCE1,CPX-1164
SMARCD1,CPX-1164
WASHC5,CPX-1168
WASHC4,CPX-1168
WASH2P,CPX-1168
WASHC3,CPX-1168
WASHC2C,CPX-1168
WASH3P,CPX-1169
WASHC5,CPX-1169
WASHC4,CPX-1169
WASHC3,CPX-1169
WASHC2C,CPX-1169
WASH4P,CPX-1170
WASHC5,CPX-1170
WASHC4,CPX-1170
WASHC3,CPX-1170
WASHC2C,CPX-1170
WASHC5,CPX-1171
WASHC4,CPX-1171
WASH6P,CPX-1171
WASHC3,CPX-1171
WASHC2C,CPX-1171
WASHC1,CPX-1172
WASHC5,CPX-1172
WASHC4,CPX-1172
WASHC2A,CPX-1172
WASHC3,CPX-1172
WASHC5,CPX-1173
WASHC4,CPX-1173
WASHC2A,CPX-1173
WASH2P,CPX-1173
WASHC3,CPX-1173
WASH3P,CPX-1174
WASHC5,CPX-1174
WASHC4,CPX-1174
WASHC2A,CPX-1174
WASHC3,CPX-1174
WASH4P,CPX-1175
WASHC5,CPX-1175
WASHC4,CPX-1175
WASHC2A,CPX-1175
WASHC3,CPX-1175
WASHC5,CPX-1176
WASHC4,CPX-1176
WASHC2A,CPX-1176
WASH6P,CPX-1176
WASHC3,CPX-1176
ARID1A,CPX-1194
ACTL6A,CPX-1194
SMARCA2,CPX-1194
ACTB,CPX-1194
SMARCB1,CPX-1194
SMARCD3,CPX-1194
SMARCC2,CPX-1194
DPF3,CPX-1194
SMARCC1,CPX-1194
SMARCD2,CPX-1194
SMARCE1,CPX-1194
SMARCD1,CPX-1194
ARID1A,CPX-1195
ACTL6A,CPX-1195
SMARCA4,CPX-1195
ACTB,CPX-1195
SMARCB1,CPX-1195
BCL7A,CPX-1195
PHF10,CPX-1195
BCL7C,CPX-1195
DPF2,CPX-1195
SMARCC1,CPX-1195
SMARCE1,CPX-1195
SMARCD1,CPX-1195
BCL7B,CPX-1195
ACTL6B,CPX-1196
SMARCA4,CPX-1196
ACTB,CPX-1196
SMARCB1,CPX-1196
ARID2,CPX-1196
PBRM1,CPX-1196
SMARCC2,CPX-1196
PHF10,CPX-1196
SMARCC1,CPX-1196
SMARCD2,CPX-1196
SMARCE1,CPX-1196
SMARCD1,CPX-1196
BRD7,CPX-1196
ACTL6A,CPX-1199
SMARCA4,CPX-1199
ACTB,CPX-1199
SMARCB1,CPX-1199
ARID2,CPX-1199
PBRM1,CPX-1199
SMARCC2,CPX-1199
PHF10,CPX-1199
SMARCC1,CPX-1199
SMARCD2,CPX-1199
SMARCE1,CPX-1199
SMARCD1,CPX-1199
BRD7,CPX-1199
ARID1A,CPX-1201
ACTL6A,CPX-1201
SMARCA2,CPX-1201
ACTB,CPX-1201
SMARCB1,CPX-1201
SMARCD3,CPX-1201
SMARCC2,CPX-1201
PHF10,CPX-1201
SMARCC1,CPX-1201
SMARCE1,CPX-1201
SMARCD1,CPX-1201
ARID1A,CPX-1202
