,Gene,Top_1,Score_1,Top_2,Score_2,Top_3,Score_3,Top_4,Score_4,Top_5,Score_5
143,ACKR4,FBXO48,4.84602782067798,MATN4,4.654991138882445,RABL2B,4.539341129723713,VTN,4.487941125653165,PCSK9,4.25921110753923
144,ACLY,FADS1,7.588218037841684,CAPRIN1,7.062224662853082,CYB5B,6.970561322260607,XPOT,6.964564655119042,PSME3,6.958567987977478
145,ACMSD,ACSM2B,4.431401121175564,DUSP23,4.020201088611184,PDZK1,3.6004343887017134,PPARA,3.557601051976257,PDZD8,3.556744385241748
146,ACO1,NUS1,5.748097892116086,DOCK11,5.484244537887277,PC,5.052484503694679,SEC23A,4.998514499420603,API5,4.709817809891029
147,ACO2,HADHB,7.58307803743463,UQCRC1,7.580508037231102,MTCH2,7.515401365408409,SDHC,7.398894689515168,TUFM,7.384331355028513
148,ACOT1,ACOT2,6.165294591822029,TMEM150B,6.120747921627555,PCSK9,5.927141239628494,ZNF90,5.640157883567937,HCRT,5.59818121357699
149,ACOT11,KATNAL2,4.76807114783765,AVPI1,4.324317779361923,SDSL,4.21980443775181,SPIRE2,3.692954396028699,TOM1L2,3.6158543899228777
150,ACOT12,PPP1R3B,4.828894485987798,CYP3A43,4.690971141731828,CA5A,3.770911068869029,LNX2,3.7477810670372826,HINFP,3.6338443913475693
151,ACOT13,MRPL27,7.636191374974195,MRPL27,7.636191374974195,ETFB,7.452008027054733,ATOX1,7.3689113538073485,COMMD4,7.317511349736801
152,ACOT2,GAMT,7.176161338542795,ABHD14B,7.147891336303995,MRPL10,7.055371328977009,FPGS,7.017677992658608,TST,6.960281321446496
153,ACOT4,ABT1,7.112768000189121,AVPI1,6.952571320835915,ACAA2,6.652737963757721,CD58,6.5961979592801185,BCL7B,6.5764946243864095
154,ACOT6,PROX2,5.258941186711376,DKKL1,4.923127826783801,LIN28A,4.748367812943939,ZNF223,4.531631129113131,TEX38,4.363724449149343
155,ACOT7,ZBTB8OS,7.076787997339737,RMDN3,7.055371328977009,SAE1,7.040807994490354,RAD51C,6.9354379861457325,ITGB1BP1,6.722984635987469
156,ACOT8,AIP,7.4228813580814235,AIP,7.4160280242053505,PPIE,7.381761354824985,EXOSC1,7.27896134668389,DPM2,7.233558009754907
157,ACOT9,HCCS,7.263541345462727,EIF4E2,7.2601146785246895,BCKDK,7.222421342206289,CD300C,7.0844979979503195,GBP2,7.055371328977009
158,ACOX1,TMEM33,6.973987989198642,ARF3,6.484831283793932,SLC31A1,6.4814046168558965,XIAP,6.343481272599927,USP38,6.288654601591344
159,ACOX2,SMUG1,6.845487979022274,NUBP1,6.490827950935497,GJB1,6.465127948900223,NSDHL,6.436001279926913,FAH,6.224404596503159
160,ACOX3,ALG1,6.252674598741961,VPS52,6.0607812502119165,TMEM187,5.94941457472573,CCDC142,5.940847907380639,ZBTB17,5.88173790269951
161,ACOXL,ARHGEF38,5.751524559054124,MECOM,5.331757859144653,MECOM,5.331757859144653,BMP1,4.667841139900082,LRRC36,4.584744466652697
162,ACP1,MDH2,7.7886780537168185,POLR2C,7.764691385150564,SNRPD1,7.759551384743509,CCT8,7.745844716991362,SNRPE,7.738134716380781
163,ACP2,NAGK,7.342354685037566,GAA,7.205288007516106,PSMC2,7.195008006701997,FUCA2,6.947431320428859,GPS1,6.943147986756315
164,ACP5,MARCO,6.9482879871633685,MRC1,6.632177962129502,ATP6AP1,6.593627959076592,VAT1,6.499394618280588,C1QC,6.398307943608511
165,ACP6,MRFAP1L1,6.470267949307278,RNF25,6.099331253264827,BCDIN3D,5.8620345678058,POLL,5.763517893337251,GCDH,5.716401222939249
166,ACR,TSGA13,5.465397869728076,ZNF114,5.4020045313744,NPIPA2,5.180984513871047,YY2,5.104741174499735,TRMT2B,5.073901172057406
